seller_id,weeks_since_onset,sla_breach_rate,avg_exposure_score
SEL0028,0,1.0,9.2
SEL0028,4,1.0,4.8
SEL0028,10,0.0,13.4
SEL0015,0,1.0,22.5
SEL0015,3,1.0,27.4
SEL0015,4,1.0,21.8
SEL0015,8,0.5,15.25
SEL0015,9,1.0,17.25
SEL0015,11,1.0,15.700000000000001
SEL0030,0,1.0,10.0
SEL0030,3,0.0,8.2
SEL0030,11,1.0,4.0
SEL0030,12,0.5,4.5
SEL0009,0,1.0,35.75
SEL0009,2,0.5,31.625
SEL0009,9,1.0,19.4
SEL0009,10,1.0,19.14
SEL0009,12,1.0,16.06
SEL0008,0,1.0,78.6
SEL0008,6,0.0,82.2
SEL0029,0,1.0,28.1
SEL0029,3,0.0,26.400000000000002
SEL0029,4,1.0,33.86666666666667
SEL0029,5,1.0,29.53333333333333
SEL0029,10,0.5,19.533333333333335
SEL0016,0,1.0,29.25
SEL0016,3,1.0,31.366666666666664
SEL0016,7,1.0,23.233333333333334
SEL0016,9,1.0,20.1
SEL0016,11,0.0,18.45
SEL0012,-5,0.0,57.5
SEL0012,0,1.0,61.2
SEL0012,4,1.0,42.05
SEL0012,5,0.0,49.699999999999996
SEL0012,7,0.0,36.300000000000004
SEL0012,8,0.0,37.699999999999996
SEL0012,9,1.0,33.1
SEL0012,12,0.6666666666666666,30.725
SEL0017,0,1.0,44.73333333333333
SEL0017,3,1.0,47.1
SEL0017,9,1.0,56.0
SEL0024,-6,0.0,62.93333333333333
SEL0024,-4,0.0,64.53333333333333
SEL0024,-3,0.0,58.3
SEL0024,0,0.5,62.050000000000004
SEL0024,3,0.0,43.1
SEL0024,6,1.0,33.275
SEL0024,7,0.5,31.0
SEL0024,9,0.0,32.64
SEL0024,11,0.5,26.4
SEL0024,12,0.0,24.240000000000002
