return_id,order_id,reason_code,return_date,refund_amount,product_id,seller_id,at_risk_label
RET0001,ORD00072,LATE_DELIVERY,2026-04-11,61.85,PRD0132,SEL0015,At-Risk
RET0002,ORD00140,LATE_DELIVERY,2026-04-10,20.05,PRD0037,SEL0008,At-Risk
RET0003,ORD00904,LATE_DELIVERY,2025-09-17,11.6,PRD0041,SEL0015,At-Risk
RET0004,ORD00286,LATE_DELIVERY,2026-03-14,8.92,PRD0031,SEL0016,At-Risk
RET0005,ORD00255,WRONG_ITEM,2025-07-16,25.23,PRD0017,SEL0024,Healthy
RET0006,ORD00762,LATE_DELIVERY,2026-07-07,28.22,PRD0089,SEL0030,At-Risk
RET0007,ORD00017,CHANGED_MIND,2026-04-23,7.19,PRD0102,SEL0023,Healthy
RET0008,ORD00462,LATE_DELIVERY,2026-06-16,12.28,PRD0094,SEL0026,Healthy
RET0009,ORD00048,LATE_DELIVERY,2026-03-15,2.46,PRD0140,SEL0021,Healthy
RET0010,ORD00539,LATE_DELIVERY,2026-03-14,22.41,PRD0080,SEL0016,At-Risk
RET0011,ORD00168,CHANGED_MIND,2026-07-17,9.79,PRD0037,SEL0008,At-Risk
RET0012,ORD00532,LATE_DELIVERY,2026-07-11,62.19,PRD0090,SEL0015,At-Risk
RET0013,ORD00544,LATE_DELIVERY,2025-03-13,29.84,PRD0070,SEL0008,At-Risk
RET0014,ORD00800,LATE_DELIVERY,2026-04-26,120.53,PRD0132,SEL0015,At-Risk
RET0015,ORD00101,LATE_DELIVERY,2026-05-24,11.32,PRD0029,SEL0013,Healthy
RET0016,ORD00819,CHANGED_MIND,2026-02-13,154.31,PRD0039,SEL0012,At-Risk
RET0017,ORD00832,WRONG_ITEM,2026-03-16,8.7,PRD0078,SEL0021,Healthy
RET0018,ORD00420,LATE_DELIVERY,2026-01-24,7.82,PRD0101,SEL0018,Healthy
RET0019,ORD00683,LATE_DELIVERY,2026-01-26,14.05,PRD0139,SEL0032,Healthy
RET0020,ORD00872,LATE_DELIVERY,2026-06-01,11.51,PRD0053,SEL0029,At-Risk
RET0021,ORD00006,LATE_DELIVERY,2026-05-26,14.62,PRD0111,SEL0017,At-Risk
RET0022,ORD00721,NOT_AS_DESCRIBED,2026-05-18,14.98,PRD0150,SEL0015,At-Risk
RET0023,ORD00758,LATE_DELIVERY,2026-06-27,81.06,PRD0087,SEL0009,At-Risk
RET0024,ORD00473,LATE_DELIVERY,2025-10-10,16.57,PRD0129,SEL0025,Healthy
RET0025,ORD00833,LATE_DELIVERY,2026-07-04,7.0,PRD0074,SEL0029,At-Risk
RET0026,ORD00498,LATE_DELIVERY,2026-03-21,67.7,PRD0020,SEL0028,At-Risk
RET0027,ORD00455,LATE_DELIVERY,2026-07-06,17.75,PRD0142,SEL0029,At-Risk
RET0028,ORD00593,CHANGED_MIND,2026-02-25,36.63,PRD0033,SEL0040,Healthy
RET0029,ORD00702,LATE_DELIVERY,2026-05-15,11.37,PRD0123,SEL0028,At-Risk
RET0030,ORD00502,LATE_DELIVERY,2026-04-29,26.82,PRD0089,SEL0030,At-Risk
RET0031,ORD00344,LATE_DELIVERY,2026-03-15,9.78,PRD0037,SEL0008,At-Risk
RET0032,ORD00803,LATE_DELIVERY,2026-01-15,48.54,PRD0063,SEL0038,Healthy
RET0033,ORD00533,LATE_DELIVERY,2026-05-19,22.86,PRD0091,SEL0036,Healthy
RET0034,ORD00053,WRONG_ITEM,2025-08-31,98.97,PRD0007,SEL0040,Healthy
RET0035,ORD00853,LATE_DELIVERY,2025-10-27,9.29,PRD0099,SEL0009,At-Risk
RET0036,ORD00510,LATE_DELIVERY,2026-05-05,24.83,PRD0073,SEL0009,At-Risk
RET0037,ORD00748,WRONG_ITEM,2026-05-30,25.71,PRD0109,SEL0012,At-Risk
RET0038,ORD00183,LATE_DELIVERY,2026-04-21,8.88,PRD0142,SEL0029,At-Risk
