seller_id,week,total_orders,breaches,sla_breach_rate,avg_rating,n_reviews,avg_exposure_score,total_impressions,total_video_views,total_live_stream_placements,n_returns,return_rate,region,primary_category,tier
SEL0001,2025-12-08,1,0,0.0,5.0,1.0,59.9,5701.0,3081.0,11.0,0.0,0.0,France,Fashion,Bronze
SEL0001,2025-12-22,1,0,0.0,,,68.0,6669.0,2811.0,14.0,0.0,0.0,France,Fashion,Bronze
SEL0001,2026-01-05,1,0,0.0,4.0,1.0,65.2,7338.0,3905.0,11.0,0.0,0.0,France,Fashion,Bronze
SEL0001,2026-02-02,1,0,0.0,4.0,1.0,78.0,13948.0,6879.0,30.0,0.0,0.0,France,Fashion,Bronze
SEL0001,2026-02-09,1,0,0.0,5.0,1.0,61.25,13691.0,7447.0,19.0,0.0,0.0,France,Fashion,Bronze
SEL0001,2026-03-09,1,0,0.0,5.0,1.0,59.25,12307.0,5516.0,21.0,0.0,0.0,France,Fashion,Bronze
SEL0001,2026-04-13,1,1,1.0,,,63.55,13740.0,6592.0,21.0,0.0,0.0,France,Fashion,Bronze
SEL0001,2026-04-20,2,1,0.5,3.0,2.0,61.4,14088.0,6030.0,19.0,1.0,0.5,France,Fashion,Bronze
SEL0001,2026-05-04,1,0,0.0,4.0,1.0,67.35,14707.0,6812.0,24.0,0.0,0.0,France,Fashion,Bronze
SEL0001,2026-05-11,1,0,0.0,5.0,1.0,73.65,14916.0,6496.0,23.0,0.0,0.0,France,Fashion,Bronze
SEL0001,2026-05-18,1,0,0.0,,,65.25,13303.0,6478.0,23.0,0.0,0.0,France,Fashion,Bronze
SEL0001,2026-06-01,1,0,0.0,1.0,1.0,64.6,14534.0,6793.0,19.0,0.0,0.0,France,Fashion,Bronze
SEL0002,2025-02-03,1,0,0.0,5.0,1.0,61.9,6279.0,2627.0,9.0,0.0,0.0,UK,Fashion,Silver
SEL0002,2025-06-02,1,0,0.0,,,67.35,13708.0,6520.0,22.0,0.0,0.0,UK,Fashion,Silver
SEL0002,2025-08-11,1,0,0.0,,,73.05,15340.0,6558.0,25.0,0.0,0.0,UK,Fashion,Silver
SEL0002,2025-09-01,1,0,0.0,,,71.4,14024.0,6688.0,23.0,0.0,0.0,UK,Fashion,Silver
SEL0002,2025-09-08,1,0,0.0,4.5,2.0,71.5,14255.0,5486.0,28.0,0.0,0.0,UK,Fashion,Silver
SEL0002,2025-10-13,1,0,0.0,,1.0,60.36666666666667,18316.0,8383.0,30.0,0.0,0.0,UK,Fashion,Silver
SEL0002,2025-10-27,1,1,1.0,,,53.36666666666667,17233.0,7728.0,30.0,0.0,0.0,UK,Fashion,Silver
SEL0002,2025-11-17,2,0,0.0,5.0,2.0,63.13333333333333,19003.0,8144.0,36.0,0.0,0.0,UK,Fashion,Silver
SEL0002,2025-11-24,1,0,0.0,3.0,1.0,55.666666666666664,17504.0,7342.0,28.0,0.0,0.0,UK,Fashion,Silver
SEL0002,2025-12-01,2,0,0.0,3.5,2.0,59.166666666666664,17949.0,7502.0,32.0,1.0,0.5,UK,Fashion,Silver
SEL0002,2026-01-05,1,0,0.0,,,62.03333333333334,19393.0,8719.0,30.0,0.0,0.0,UK,Fashion,Silver
SEL0002,2026-01-26,2,0,0.0,,,60.775,24603.0,12384.0,40.0,0.0,0.0,UK,Fashion,Silver
SEL0002,2026-02-09,1,0,0.0,,,65.65,25570.0,12183.0,50.0,0.0,0.0,UK,Fashion,Silver
SEL0002,2026-02-16,1,0,0.0,5.0,1.0,63.2,25164.0,12237.0,43.0,0.0,0.0,UK,Fashion,Silver
SEL0002,2026-03-02,2,1,0.5,1.0,2.0,59.6,24649.0,10405.0,42.0,0.0,0.0,UK,Fashion,Silver
SEL0002,2026-03-16,2,0,0.0,5.0,1.0,49.519999999999996,26467.0,12253.0,39.0,0.0,0.0,UK,Fashion,Silver
SEL0002,2026-03-30,1,0,0.0,5.0,1.0,54.36,27337.0,13709.0,49.0,0.0,0.0,UK,Fashion,Silver
SEL0002,2026-04-13,1,0,0.0,5.0,1.0,52.71999999999999,27709.0,13309.0,49.0,0.0,0.0,UK,Fashion,Silver
SEL0002,2026-04-20,1,0,0.0,,,52.68000000000001,26743.0,11744.0,46.0,1.0,1.0,UK,Fashion,Silver
SEL0002,2026-04-27,1,0,0.0,,,53.9,27891.0,11049.0,44.0,0.0,0.0,UK,Fashion,Silver
SEL0002,2026-05-04,1,0,0.0,4.0,1.0,59.3,28152.0,12689.0,54.0,0.0,0.0,UK,Fashion,Silver
SEL0002,2026-05-18,3,0,0.0,4.0,2.0,58.17999999999999,29480.0,13131.0,49.0,0.0,0.0,UK,Fashion,Silver
SEL0002,2026-06-01,1,0,0.0,,,55.2,27456.0,12154.0,50.0,0.0,0.0,UK,Fashion,Silver
SEL0002,2026-06-08,3,1,0.3333333333333333,2.5,2.0,56.260000000000005,28353.0,12512.0,46.0,1.0,0.3333333333333333,UK,Fashion,Silver
SEL0002,2026-06-15,2,0,0.0,5.0,1.0,49.9,27013.0,12818.0,37.0,0.0,0.0,UK,Fashion,Silver
SEL0002,2026-06-22,2,0,0.0,4.5,2.0,52.02,26976.0,12397.0,42.0,0.0,0.0,UK,Fashion,Silver
SEL0003,2025-05-26,1,0,0.0,1.0,1.0,24.0,2481.0,1057.0,5.0,0.0,0.0,Germany,Home & Living,Bronze
SEL0003,2025-06-16,1,1,1.0,2.0,1.0,20.9,2497.0,1099.0,3.0,0.0,0.0,Germany,Home & Living,Bronze
SEL0003,2025-06-30,1,0,0.0,5.0,1.0,25.9,2703.0,1250.0,5.0,0.0,0.0,Germany,Home & Living,Bronze
SEL0003,2025-09-15,1,0,0.0,,,24.4,2392.0,1001.0,4.0,0.0,0.0,Germany,Home & Living,Bronze
SEL0003,2025-10-06,1,0,0.0,5.0,1.0,25.8,2759.0,1206.0,5.0,0.0,0.0,Germany,Home & Living,Bronze
SEL0003,2025-11-03,1,0,0.0,,,23.3,2412.0,1279.0,4.0,0.0,0.0,Germany,Home & Living,Bronze
SEL0003,2026-02-16,1,1,1.0,,,27.1,2394.0,897.0,5.0,1.0,1.0,Germany,Home & Living,Bronze
SEL0003,2026-04-13,1,0,0.0,5.0,1.0,28.6,3134.0,1288.0,5.0,0.0,0.0,Germany,Home & Living,Bronze
SEL0004,2025-11-03,1,0,0.0,,,61.2,12586.0,5566.0,20.0,0.0,0.0,Italy,Electronics,Bronze
SEL0004,2025-11-10,1,0,0.0,3.0,1.0,62.2,12998.0,5480.0,20.0,0.0,0.0,Italy,Electronics,Bronze
SEL0004,2025-11-17,1,1,1.0,,,59.5,12069.0,5580.0,23.0,1.0,1.0,Italy,Electronics,Bronze
SEL0004,2025-11-24,1,0,0.0,4.0,1.0,54.05,11535.0,5054.0,20.0,0.0,0.0,Italy,Electronics,Bronze
SEL0004,2025-12-22,1,0,0.0,,,65.2,11735.0,5808.0,25.0,0.0,0.0,Italy,Electronics,Bronze
SEL0004,2026-02-02,2,0,0.0,,1.0,66.45,13456.0,6295.0,20.0,0.0,0.0,Italy,Electronics,Bronze
SEL0004,2026-03-09,1,0,0.0,5.0,1.0,58.1,10844.0,4505.0,22.0,0.0,0.0,Italy,Electronics,Bronze
SEL0004,2026-03-30,1,0,0.0,,1.0,54.25,10813.0,5484.0,22.0,0.0,0.0,Italy,Electronics,Bronze
SEL0004,2026-04-20,1,0,0.0,,,56.7,13080.0,6637.0,16.0,0.0,0.0,Italy,Electronics,Bronze
SEL0004,2026-05-18,1,0,0.0,,,61.650000000000006,12453.0,6542.0,21.0,0.0,0.0,Italy,Electronics,Bronze
SEL0004,2026-06-15,1,0,0.0,,,53.9,11974.0,6322.0,19.0,0.0,0.0,Italy,Electronics,Bronze
SEL0005,2025-03-31,1,0,0.0,,1.0,43.1,4256.0,1877.0,8.0,0.0,0.0,UK,Electronics,Silver
SEL0005,2025-04-28,2,1,0.5,3.0,2.0,65.8,13330.0,7049.0,21.0,0.0,0.0,UK,Electronics,Silver
SEL0005,2025-05-26,1,1,1.0,,,58.5,13075.0,4987.0,17.0,0.0,0.0,UK,Electronics,Silver
SEL0005,2025-06-09,1,0,0.0,5.0,1.0,73.19999999999999,13339.0,6808.0,29.0,0.0,0.0,UK,Electronics,Silver
SEL0005,2025-06-23,1,0,0.0,,,52.95,12638.0,4978.0,16.0,0.0,0.0,UK,Electronics,Silver
SEL0005,2025-07-14,1,0,0.0,4.0,1.0,74.1,13151.0,5749.0,29.0,0.0,0.0,UK,Electronics,Silver
SEL0005,2025-08-11,2,0,0.0,4.0,1.0,66.4,12949.0,6417.0,24.0,0.0,0.0,UK,Electronics,Silver
SEL0005,2025-09-29,1,0,0.0,2.0,1.0,65.5,20692.0,8762.0,32.0,0.0,0.0,UK,Electronics,Silver
SEL0005,2025-10-06,2,0,0.0,4.0,1.0,64.03333333333333,19435.0,10337.0,30.0,0.0,0.0,UK,Electronics,Silver
SEL0005,2025-10-13,1,0,0.0,2.0,1.0,62.73333333333333,19878.0,9922.0,31.0,1.0,1.0,UK,Electronics,Silver
SEL0005,2025-10-20,1,0,0.0,5.0,1.0,72.83333333333333,20701.0,9213.0,45.0,0.0,0.0,UK,Electronics,Silver
SEL0005,2025-10-27,1,0,0.0,5.0,1.0,59.23333333333333,19374.0,9769.0,29.0,0.0,0.0,UK,Electronics,Silver
SEL0005,2026-01-19,2,0,0.0,,,58.1,23686.0,10912.0,42.0,0.0,0.0,UK,Electronics,Silver
SEL0005,2026-02-02,1,0,0.0,5.0,1.0,57.125,23310.0,11805.0,40.0,0.0,0.0,UK,Electronics,Silver
SEL0005,2026-02-16,1,0,0.0,3.0,1.0,62.25,25240.0,10025.0,42.0,0.0,0.0,UK,Electronics,Silver
SEL0005,2026-02-23,2,0,0.0,5.0,1.0,62.8,24396.0,10284.0,45.0,0.0,0.0,UK,Electronics,Silver
SEL0005,2026-03-02,1,0,0.0,5.0,1.0,53.199999999999996,22523.0,11529.0,37.0,0.0,0.0,UK,Electronics,Silver
SEL0005,2026-03-30,1,0,0.0,,,55.0,22477.0,10216.0,36.0,0.0,0.0,UK,Electronics,Silver
SEL0005,2026-04-13,1,0,0.0,5.0,1.0,56.125,22389.0,9669.0,40.0,0.0,0.0,UK,Electronics,Silver
SEL0005,2026-04-20,2,0,0.0,4.0,1.0,58.42,29360.0,12208.0,49.0,0.0,0.0,UK,Electronics,Silver
SEL0005,2026-04-27,1,0,0.0,,,55.379999999999995,29907.0,13433.0,48.0,0.0,0.0,UK,Electronics,Silver
SEL0005,2026-05-04,1,1,1.0,,1.0,58.36,29717.0,13058.0,54.0,0.0,0.0,UK,Electronics,Silver
SEL0005,2026-05-11,4,1,0.25,3.3333333333333335,3.0,60.04,30777.0,16433.0,52.0,0.0,0.0,UK,Electronics,Silver
SEL0005,2026-05-18,1,0,0.0,4.0,1.0,55.94,27960.0,12870.0,53.0,0.0,0.0,UK,Electronics,Silver
SEL0005,2026-06-01,2,1,0.5,,,53.67999999999999,27871.0,13925.0,46.0,0.0,0.0,UK,Electronics,Silver
SEL0005,2026-06-08,3,0,0.0,4.666666666666667,3.0,56.6,27870.0,12362.0,48.0,0.0,0.0,UK,Electronics,Silver
SEL0005,2026-06-15,1,0,0.0,,,62.08,30349.0,14831.0,55.0,0.0,0.0,UK,Electronics,Silver
SEL0005,2026-06-29,1,0,0.0,,,66.4,8133.0,3514.0,9.0,0.0,0.0,UK,Electronics,Silver
SEL0006,2025-05-05,1,0,0.0,4.0,1.0,70.3,7710.0,2950.0,10.0,0.0,0.0,Italy,Beauty,Bronze
SEL0006,2025-07-21,1,1,1.0,2.0,1.0,70.025,29543.0,14444.0,45.0,0.0,0.0,Italy,Beauty,Bronze
SEL0006,2025-07-28,1,0,0.0,4.0,1.0,68.975,28269.0,13412.0,45.0,0.0,0.0,Italy,Beauty,Bronze
SEL0006,2025-08-11,1,0,0.0,,,68.675,27343.0,13219.0,54.0,0.0,0.0,Italy,Beauty,Bronze
SEL0006,2025-08-18,1,0,0.0,5.0,1.0,75.725,29181.0,13311.0,51.0,0.0,0.0,Italy,Beauty,Bronze
SEL0006,2025-12-01,2,0,0.0,4.0,1.0,69.825,26460.0,13289.0,51.0,0.0,0.0,Italy,Beauty,Bronze
SEL0006,2025-12-08,1,0,0.0,3.0,1.0,70.05,29808.0,14041.0,47.0,0.0,0.0,Italy,Beauty,Bronze
SEL0006,2025-12-22,1,0,0.0,5.0,1.0,73.525,28856.0,12593.0,55.0,0.0,0.0,Italy,Beauty,Bronze
SEL0006,2025-12-29,1,0,0.0,3.0,1.0,73.5,29594.0,15425.0,58.0,0.0,0.0,Italy,Beauty,Bronze
SEL0006,2026-03-30,3,2,0.6666666666666666,1.0,1.0,77.85,29686.0,13453.0,62.0,1.0,0.3333333333333333,Italy,Beauty,Bronze
SEL0006,2026-04-13,1,0,0.0,5.0,1.0,70.77499999999999,27655.0,11996.0,57.0,0.0,0.0,Italy,Beauty,Bronze
SEL0006,2026-05-11,1,0,0.0,5.0,1.0,62.42,30800.0,13822.0,53.0,0.0,0.0,Italy,Beauty,Bronze
SEL0006,2026-05-18,3,1,0.3333333333333333,5.0,1.0,62.94,32449.0,14485.0,50.0,0.0,0.0,Italy,Beauty,Bronze
SEL0006,2026-05-25,1,0,0.0,,,68.0,35109.0,15413.0,59.0,0.0,0.0,Italy,Beauty,Bronze
SEL0006,2026-06-01,2,0,0.0,,,64.58,31517.0,14680.0,62.0,0.0,0.0,Italy,Beauty,Bronze
SEL0006,2026-06-08,1,0,0.0,5.0,1.0,61.739999999999995,31429.0,14348.0,54.0,0.0,0.0,Italy,Beauty,Bronze
SEL0006,2026-06-15,2,0,0.0,1.0,1.0,68.0,33790.0,15458.0,62.0,0.0,0.0,Italy,Beauty,Bronze
SEL0006,2026-06-22,1,0,0.0,,,64.53999999999999,31722.0,13705.0,57.0,0.0,0.0,Italy,Beauty,Bronze
SEL0007,2025-03-03,1,0,0.0,4.0,1.0,26.3,2693.0,1316.0,4.0,0.0,0.0,Germany,Sports & Outdoors,Bronze
SEL0007,2025-06-09,1,0,0.0,,,30.8,3005.0,1413.0,7.0,1.0,1.0,Germany,Sports & Outdoors,Bronze
SEL0007,2025-06-30,1,0,0.0,,,20.9,2533.0,1053.0,3.0,1.0,1.0,Germany,Sports & Outdoors,Bronze
SEL0007,2025-07-28,1,0,0.0,,,18.45,4666.0,1660.0,4.0,0.0,0.0,Germany,Sports & Outdoors,Bronze
SEL0007,2025-08-04,2,0,0.0,4.5,2.0,19.1,4806.0,2200.0,4.0,0.0,0.0,Germany,Sports & Outdoors,Bronze
SEL0007,2025-11-10,1,0,0.0,5.0,1.0,22.133333333333336,7478.0,3157.0,10.0,0.0,0.0,Germany,Sports & Outdoors,Bronze
SEL0007,2025-12-01,2,1,0.5,5.0,1.0,13.233333333333334,4677.0,2370.0,4.0,0.0,0.0,Germany,Sports & Outdoors,Bronze
SEL0007,2025-12-08,1,1,1.0,1.0,1.0,15.033333333333333,5702.0,2780.0,4.0,0.0,0.0,Germany,Sports & Outdoors,Bronze
SEL0007,2025-12-29,1,0,0.0,,,10.733333333333333,4091.0,1606.0,3.0,0.0,0.0,Germany,Sports & Outdoors,Bronze
SEL0007,2026-01-05,1,1,1.0,,1.0,9.766666666666667,3905.0,1774.0,2.0,1.0,1.0,Germany,Sports & Outdoors,Bronze
SEL0007,2026-01-26,1,0,0.0,,,8.166666666666666,3446.0,1428.0,1.0,0.0,0.0,Germany,Sports & Outdoors,Bronze
SEL0007,2026-02-16,1,1,1.0,2.0,1.0,5.966666666666666,2702.0,1251.0,0.0,0.0,0.0,Germany,Sports & Outdoors,Bronze
SEL0007,2026-03-09,2,2,1.0,2.0,2.0,6.633333333333333,2653.0,1055.0,1.0,1.0,0.5,Germany,Sports & Outdoors,Bronze
SEL0007,2026-03-23,1,0,0.0,4.0,1.0,4.866666666666666,2280.0,1124.0,0.0,0.0,0.0,Germany,Sports & Outdoors,Bronze
SEL0007,2026-05-25,1,0,0.0,2.0,1.0,4.233333333333333,2031.0,891.0,0.0,0.0,0.0,Germany,Sports & Outdoors,Bronze
SEL0007,2026-06-08,1,1,1.0,,,4.533333333333333,2018.0,920.0,0.0,0.0,0.0,Germany,Sports & Outdoors,Bronze
SEL0008,2025-02-17,1,1,1.0,3.0,1.0,78.6,7405.0,3736.0,14.0,1.0,1.0,UK,Home & Living,Silver
SEL0008,2025-03-31,1,0,0.0,5.0,1.0,82.2,8582.0,3017.0,15.0,0.0,0.0,UK,Home & Living,Silver
SEL0008,2025-11-03,1,0,0.0,4.0,1.0,51.45,11114.0,5735.0,16.0,0.0,0.0,UK,Home & Living,Silver
SEL0008,2025-11-17,1,1,1.0,3.0,1.0,41.85,9401.0,4279.0,14.0,1.0,1.0,UK,Home & Living,Silver
SEL0008,2025-11-24,1,1,1.0,,,46.05,10237.0,4742.0,14.0,0.0,0.0,UK,Home & Living,Silver
SEL0008,2025-12-22,1,1,1.0,1.0,1.0,31.450000000000003,7320.0,2986.0,7.0,1.0,1.0,UK,Home & Living,Silver
SEL0008,2026-02-02,1,0,0.0,2.0,1.0,16.65,4130.0,1667.0,3.0,0.0,0.0,UK,Home & Living,Silver
SEL0008,2026-02-09,2,0,0.0,2.0,1.0,15.05,3991.0,1801.0,2.0,1.0,0.5,UK,Home & Living,Silver
SEL0008,2026-02-23,1,0,0.0,5.0,1.0,28.766666666666666,10090.0,5196.0,10.0,0.0,0.0,UK,Home & Living,Silver
SEL0008,2026-03-02,1,1,1.0,,,25.099999999999998,9447.0,4796.0,8.0,1.0,1.0,UK,Home & Living,Silver
SEL0008,2026-03-09,1,1,1.0,2.0,1.0,23.2,8827.0,4540.0,6.0,0.0,0.0,UK,Home & Living,Silver
SEL0008,2026-03-16,1,1,1.0,,,19.5,8038.0,3610.0,5.0,1.0,1.0,UK,Home & Living,Silver
SEL0008,2026-03-23,1,1,1.0,1.0,1.0,19.733333333333334,7268.0,3187.0,5.0,1.0,1.0,UK,Home & Living,Silver
SEL0008,2026-03-30,1,0,0.0,5.0,1.0,19.2,7095.0,3116.0,6.0,0.0,0.0,UK,Home & Living,Silver
SEL0008,2026-04-06,1,0,0.0,4.0,1.0,14.200000000000001,6141.0,2590.0,3.0,0.0,0.0,UK,Home & Living,Silver
SEL0008,2026-04-13,2,2,1.0,4.0,2.0,15.166666666666666,6214.0,2426.0,4.0,1.0,0.5,UK,Home & Living,Silver
SEL0008,2026-04-20,1,0,0.0,1.0,1.0,13.066666666666668,5129.0,2203.0,3.0,1.0,1.0,UK,Home & Living,Silver
SEL0008,2026-04-27,1,0,0.0,5.0,1.0,13.333333333333334,5657.0,2879.0,2.0,0.0,0.0,UK,Home & Living,Silver
SEL0008,2026-05-04,1,1,1.0,,,12.466666666666667,5521.0,2175.0,2.0,0.0,0.0,UK,Home & Living,Silver
SEL0008,2026-05-11,1,1,1.0,,,11.333333333333334,4792.0,1942.0,2.0,0.0,0.0,UK,Home & Living,Silver
SEL0008,2026-05-18,1,1,1.0,2.0,1.0,10.866666666666667,4620.0,2310.0,1.0,0.0,0.0,UK,Home & Living,Silver
SEL0008,2026-06-01,1,0,0.0,5.0,1.0,9.4,4268.0,1892.0,1.0,0.0,0.0,UK,Home & Living,Silver
SEL0008,2026-06-08,1,1,1.0,1.0,1.0,9.466666666666667,4040.0,1993.0,1.0,1.0,1.0,UK,Home & Living,Silver
