date,product_id,impressions,video_views,live_stream_placements,exposure_score
2025-12-18,PRD0001,7836,3831,10,68.2
2025-12-25,PRD0001,7049,3364,8,58.7
2026-01-01,PRD0001,6871,3207,10,66.3
2026-01-08,PRD0001,7840,4305,13,77.7
2026-01-15,PRD0001,6580,2755,9,63.6
2026-01-22,PRD0001,6896,2929,15,73.9
2026-01-29,PRD0001,6578,2993,9,64.0
2026-02-05,PRD0001,6238,3364,10,58.3
2026-02-12,PRD0001,6698,2717,14,74.0
2026-02-19,PRD0001,7631,3214,13,79.7
2026-02-26,PRD0001,8193,4243,18,92.2
2026-03-05,PRD0001,7355,2910,10,69.0
2026-03-12,PRD0001,7080,2617,11,63.0
2026-03-19,PRD0001,7419,3390,15,81.9
2026-03-26,PRD0001,8333,3009,15,80.2
2026-04-02,PRD0001,6768,3369,13,71.0
2026-04-09,PRD0001,6744,3290,11,60.7
2026-04-16,PRD0001,7542,3472,9,63.4
2026-04-23,PRD0001,8027,2911,18,87.6
2026-04-30,PRD0001,6340,2507,12,65.4
2026-05-07,PRD0001,7224,3304,15,74.1
2026-05-14,PRD0001,7596,2957,10,64.5
2026-05-21,PRD0001,6640,3044,9,60.6
2026-05-28,PRD0001,7454,3476,16,74.9
2026-06-04,PRD0001,8149,4119,11,77.9
2026-06-11,PRD0001,7553,3332,9,69.3
2026-06-18,PRD0001,7525,3375,10,68.5
2026-06-25,PRD0001,7334,3962,11,73.0
2025-02-22,PRD0002,3331,1349,6,32.4
2025-03-01,PRD0002,3538,1929,8,38.5
2025-03-08,PRD0002,3407,1856,6,32.1
2025-03-15,PRD0002,3133,1367,4,30.0
2025-03-22,PRD0002,3541,1691,6,33.0
2025-03-29,PRD0002,3904,1962,5,35.1
2025-04-05,PRD0002,3408,1554,4,29.0
2025-04-12,PRD0002,3721,1727,5,32.1
2025-04-19,PRD0002,3890,1972,8,41.6
2025-04-26,PRD0002,3232,1749,7,35.5
2025-05-03,PRD0002,3915,1980,5,37.5
2025-05-10,PRD0002,3572,1861,5,31.2
2025-05-17,PRD0002,3423,1440,7,35.6
2025-05-24,PRD0002,3522,1509,5,34.0
2025-05-31,PRD0002,3499,1902,5,34.0
2025-06-07,PRD0002,4116,2072,5,37.7
2025-06-14,PRD0002,3288,1622,5,30.5
2025-06-21,PRD0002,3410,1732,5,32.2
