product_id,seller_id,category,sub_category,price,listing_date,live_shopping_eligible
PRD0001,SEL0020,Fashion,Menswear,11.29,2025-12-18,True
PRD0002,SEL0034,Beauty,Haircare,13.22,2025-02-22,True
PRD0003,SEL0014,Pet Supplies,,16.73,2025-05-14,True
PRD0004,SEL0040,Electronics,Wearables,9.14,2025-04-14,True
PRD0005,SEL0022,Sports & Outdoors,Cycling,17.93,2026-01-14,True
PRD0006,SEL0040,Electronics,,11.53,2026-05-22,No
PRD0007,SEL0040,Electronics,Smart Home,19.92,2025-06-01,True
PRD0008,SEL0015,Home & Living,Storage,26.09,2025-08-31,False
PRD0009,SEL0018,Electronics,Phone Accessories,£25.99,2025-12-07,False
PRD0010,SEL0005,Electronics,Phone Accessories,11.01,2025-04-21,Yes
PRD0011,SEL0024,Fashion,Accessories,8.39,2026-04-17,True
PRD0012,SEL0035,Toys & Games,Educational,42.7,2026-02-13,True
PRD0013,SEL0016,Pet Supplies,Toys,9.27,2025-12-06,False
PRD0014,SEL0002,Fashion,Footwear,10.88,2025-09-29,True
PRD0015,SEL0017,Toys & Games,Outdoor Play,18.83,2025-04-29,True
PRD0016,SEL0026,Pet Supplies,,22.73,2025-07-21,Yes
PRD0017,SEL0024,Fashion,Footwear,25.02,2025-05-08,False
PRD0018,SEL0004,Electronics,Smart Home,4.99,2025-10-30,True
PRD0019,SEL0024,Fashion,Accessories,14.42,2025-11-05,True
PRD0020,SEL0028,Fashion,Footwear,34.15,2025-11-26,True
PRD0021,SEL0018,Electronics,Phone Accessories,43.77,2025-06-23,False
PRD0022,SEL0016,Pet Supplies,Grooming,13.75,2025-08-29,False
PRD0023,SEL0027,Sports & Outdoors,Fitness,£9.11,2025-11-29,True
PRD0024,SEL0007,Sports & Outdoors,Camping,10.05,2025-07-19,False
PRD0025,SEL0039,Fashion,Accessories,14.91,2025-01-06,False
PRD0026,SEL0027,Sports & Outdoors,Fitness,14.21,2026-05-16,False
PRD0027,SEL0017,Toys & Games,Educational,13.69,2025-05-05,True
PRD0028,SEL0009,Sports & Outdoors,Cycling,12.42,2025-10-09,False
PRD0029,SEL0013,Home & Living,Storage,11.01,2026-04-22,True
PRD0030,SEL0037,Pet Supplies,Toys,36.65,2025-10-11,False
PRD0031,SEL0016,Pet Supplies,Grooming,9.08,2025-10-20,True
PRD0032,SEL0017,Toys & Games,,£7.67,2026-01-28,False
PRD0033,SEL0040,Electronics,Audio,35.6,2025-12-04,True
PRD0034,SEL0018,Electronics,Wearables,34.55,2025-01-21,False
PRD0035,SEL0023,Fashion,Accessories,29.1,2025-11-02,False
PRD0036,SEL0024,Fashion,Accessories,20.36,2025-08-14,True
PRD0037,SEL0008,Home & Living,,9.92,2026-02-19,False
PRD0038,SEL0023,Fashion,Menswear,4.99,2026-02-08,True
PRD0039,SEL0012,Home & Living,Kitchen,£51.49,2025-11-11,True
PRD0040,SEL0038,Fashion,Footwear,9.03,2026-01-24,True
PRD0041,SEL0015,Home & Living,Storage,£11.76,2025-01-20,No
PRD0042,SEL0011,Pet Supplies,Toys,£13.49,2025-02-11,False
PRD0043,SEL0008,Home & Living,Decor,10.95,2025-09-02,True
PRD0044,SEL0011,Pet Supplies,Grooming,34.11,2025-09-20,False
PRD0045,SEL0016,Pet Supplies,Grooming,10.15,2025-06-17,False
PRD0046,SEL0001,Fashion,Womenswear,25.66,2026-01-20,True
PRD0047,SEL0020,Fashion,Womenswear,63.82,2025-09-06,True
PRD0048,SEL0022,Sports & Outdoors,Cycling,£17.24,2025-02-12,True
PRD0049,SEL0039,Fashion,,34.83,2025-01-13,False
PRD0050,SEL0025,Fashion,Womenswear,53.77,2026-04-16,False
