return_id,order_id,reason_code,return_date,refund_amount
RET0001,ORD00072,LATE_DELIVERY,2026-04-11,61.85
RET0002,ORD00140,LATE_DELIVERY,2026-04-10,20.05
RET0003,ORD00904,late af no good,2025-09-17,11.6
RET0004,ORD00286,LATE_DELIVERY,2026-03-14,8.92
RET0005,ORD00255,WRONG_ITEM,2025-07-16,25.23
RET0006,ORD00762,LATE_DELIVERY,2026-07-07,28.22
RET0007,ORD00017,changed my mind sorry,2026-04-23,7.19
RET0008,ORD00462,LATE_DELIVERY,2026-06-16,12.28
RET0009,ORD00048,LATE_DELIVERY,2026-03-15,2.46
RET0010,ORD00539,LATE_DELIVERY,2026-03-14,22.41
RET0011,ORD00168,didnt like it,2026-07-17,9.79
RET0012,ORD00532,LATE_DELIVERY,2026-07-11,62.19
RET0013,ORD00544,LATE_DELIVERY,2025-03-13,29.84
RET0014,ORD00800,LATE_DELIVERY,2026-04-26,120.53
RET0015,ORD00101,LATE_DELIVERY,2026-05-24,11.32
RET0016,ORD00819,didnt like it,2026-02-13,154.31
RET0017,ORD00832,wrong size sent,2026-03-16,8.7
RET0018,ORD00420,LATE_DELIVERY,2026-01-24,7.82
RET0019,ORD00683,LATE_DELIVERY,2026-01-26,14.05
RET0020,ORD00872,item never arrived,2026-06-01,11.51
RET0021,ORD00006,LATE_DELIVERY,2026-05-26,14.62
RET0022,ORD00721,NOT_AS_DESCRIBED,2026-05-18,14.98
RET0023,ORD00758,LATE_DELIVERY,2026-06-27,81.06
RET0024,ORD00473,late af no good,2025-10-10,16.57
RET0025,ORD00833,LATE_DELIVERY,2026-07-04,7.0
RET0026,ORD00498,LATE_DELIVERY,2026-03-21,67.7
RET0027,ORD00455,LATE_DELIVERY,2026-07-06,17.75
RET0028,ORD00593,didnt like it,2026-02-25,36.63
RET0029,ORD00702,late af no good,2026-05-15,11.37
RET0030,ORD00502,LATE_DELIVERY,2026-04-29,26.82
RET0031,ORD00344,LATE_DELIVERY,2026-03-15,9.78
RET0032,ORD00803,LATE_DELIVERY,2026-01-15,48.54
RET0033,ORD00533,late af no good,2026-05-19,22.86
RET0034,ORD00053,wrong size sent,2025-08-31,98.97
RET0035,ORD00853,LATE_DELIVERY,2025-10-27,9.29
RET0036,ORD00510,LATE_DELIVERY,2026-05-05,24.83
RET0037,ORD00748,WRONG_ITEM,2026-05-30,25.71
RET0038,ORD00183,LATE_DELIVERY,2026-04-21,8.88
RET0039,ORD00697,LATE_DELIVERY,2026-07-09,18.08
RET0040,ORD00174,LATE_DELIVERY,2026-06-11,54.02
RET0041,ORD00654,LATE_DELIVERY,2025-09-18,10.24
RET0042,ORD00271,DAMAGED,2026-07-01,55.42
RET0043,ORD00466,LATE_DELIVERY,2026-06-18,24.48
RET0044,ORD00417,LATE_DELIVERY,2025-09-27,114.14
RET0045,ORD00324,LATE_DELIVERY,2026-07-08,9.91
RET0046,ORD00408,LATE_DELIVERY,2026-05-10,19.61
RET0047,ORD00431,LATE_DELIVERY,2026-06-08,19.88
RET0048,ORD00246,LATE_DELIVERY,2026-05-08,25.32
RET0049,ORD00193,late af no good,2026-01-01,30.02
RET0050,ORD00608,LATE_DELIVERY,2026-05-14,18.13
RET0051,ORD00247,LATE_DELIVERY,2025-11-12,19.22
RET0052,ORD00272,didnt like it,2026-04-17,8.63
RET0053,ORD00924,LATE_DELIVERY,2026-05-26,5.84
RET0054,ORD00776,LATE_DELIVERY,2026-06-10,14.7
RET0055,ORD00187,didnt like it,2026-07-11,12.12
RET0056,ORD00416,didnt like it,2026-05-09,6.48
RET0057,ORD00226,LATE_DELIVERY,2025-10-02,42.19
RET0058,ORD00678,LATE_DELIVERY,2026-07-01,14.11
RET0059,ORD00766,changed my mind sorry,2025-12-03,9.97
RET0060,ORD00012,LATE_DELIVERY,2025-10-04,25.99
RET0061,ORD00885,item never arrived,2025-11-02,34.6
RET0062,ORD00742,LATE_DELIVERY,2026-07-19,20.61
RET0063,ORD00323,LATE_DELIVERY,2026-03-25,25.03
RET0064,ORD00108,LATE_DELIVERY,2026-06-08,25.86
RET0065,ORD00356,didnt like it,2025-11-06,16.91
RET0066,ORD00160,LATE_DELIVERY,2026-05-07,12.9
RET0067,ORD00757,CHANGED_MIND,2025-09-06,27.17
RET0068,ORD00545,LATE_DELIVERY,2026-05-04,20.16
RET0069,ORD00886,NOT_AS_DESCRIBED,2025-07-17,42.3
RET0070,ORD00032,LATE_DELIVERY,2026-03-14,30.67
RET0071,ORD00752,LATE_DELIVERY,2026-05-01,61.21
RET0072,ORD00045,NOT_AS_DESCRIBED,2025-12-26,44.9
RET0073,ORD00314,CHANGED_MIND,2026-06-03,25.8
RET0074,ORD00598,WRONG_ITEM,2025-06-24,22.06
RET0075,ORD00799,LATE_DELIVERY,2026-03-19,12.64
RET0076,ORD00434,LATE_DELIVERY,2026-01-26,11.55
RET0077,ORD00203,LATE_DELIVERY,2026-01-24,30.17
RET0078,ORD00955,late af no good,2026-07-10,9.9
RET0079,ORD00343,LATE_DELIVERY,2026-04-09,68.61
RET0080,ORD00364,wrong size sent,2026-02-02,11.16
RET0081,ORD00175,LATE_DELIVERY,2026-04-04,58.56
RET0082,ORD00261,changed my mind sorry,2026-04-12,12.93
RET0083,ORD00783,LATE_DELIVERY,2026-05-04,12.22
RET0084,ORD00601,LATE_DELIVERY,2025-08-20,13.89
RET0085,ORD00442,changed my mind sorry,2026-05-01,26.53
RET0086,ORD00383,WRONG_ITEM,2025-12-28,45.37
RET0087,ORD00754,wrong size sent,2026-07-11,7.78
RET0088,ORD00622,LATE_DELIVERY,2026-06-13,11.72
RET0089,ORD00769,LATE_DELIVERY,2026-04-24,25.4
RET0090,ORD00216,LATE_DELIVERY,2026-04-03,11.14
RET0091,ORD00703,LATE_DELIVERY,2025-11-06,16.53
RET0092,ORD00640,LATE_DELIVERY,2026-02-19,31.23
RET0093,ORD00377,changed my mind sorry,2025-12-18,19.12
RET0094,ORD00375,LATE_DELIVERY,2026-02-21,44.09
RET0095,ORD00696,late af no good,2026-03-15,16.87
RET0096,ORD00771,LATE_DELIVERY,2026-03-30,19.27
RET0097,ORD00591,LATE_DELIVERY,2026-01-09,12.35
RET0098,ORD00369,LATE_DELIVERY,2026-05-07,14.67
RET0099,ORD00511,LATE_DELIVERY,2026-06-21,12.25
RET0100,ORD00454,wrong size sent,2026-02-10,7.77
RET0101,ORD00074,CHANGED_MIND,2026-06-06,12.32
RET0102,ORD00137,WRONG_ITEM,2026-02-17,12.05
RET0103,ORD00578,LATE_DELIVERY,2026-05-20,3.38
RET0104,ORD00648,LATE_DELIVERY,2026-05-24,168.33
RET0105,ORD00990,LATE_DELIVERY,2025-11-05,26.33
RET0106,ORD00103,LATE_DELIVERY,2026-03-17,26.7
RET0107,ORD00484,LATE_DELIVERY,2026-01-07,19.44
RET0108,ORD00320,LATE_DELIVERY,2026-06-06,41.12
RET0109,ORD00181,changed my mind sorry,2026-05-26,8.18
RET0110,ORD00944,late af no good,2026-02-20,19.98
RET0111,ORD00524,WRONG_ITEM,2026-01-26,47.93
RET0112,ORD00319,LATE_DELIVERY,2026-06-24,9.08
RET0113,ORD00857,LATE_DELIVERY,2026-03-03,14.01
RET0114,ORD00046,LATE_DELIVERY,2026-06-15,11.67
RET0115,ORD00579,LATE_DELIVERY,2026-06-19,19.91
RET0116,ORD00488,LATE_DELIVERY,2026-06-09,17.12
RET0117,ORD00865,WRONG_ITEM,2026-07-13,86.73
RET0118,ORD00789,DAMAGED,2025-10-27,208.36
RET0119,ORD00427,LATE_DELIVERY,2026-07-04,34.33
RET0120,ORD00395,LATE_DELIVERY,2026-02-25,10.64
RET0121,ORD00699,wrong size sent,2025-09-07,5.99
RET0122,ORD00365,late af no good,2026-06-25,82.25
RET0123,ORD00013,LATE_DELIVERY,2026-02-27,23.21
RET0124,ORD00515,LATE_DELIVERY,2026-02-26,25.92
RET0125,ORD00214,LATE_DELIVERY,2026-01-13,3.16
RET0126,ORD00870,changed my mind sorry,2026-06-17,17.38
RET0127,ORD00585,WRONG_ITEM,2025-04-09,7.69
RET0128,ORD00411,LATE_DELIVERY,2025-11-06,7.21
RET0129,ORD00755,LATE_DELIVERY,2026-03-09,6.33
RET0130,ORD00577,wrong size sent,2026-05-10,40.26
RET0131,ORD00509,wrong size sent,2026-03-09,22.8
RET0132,ORD00760,LATE_DELIVERY,2025-12-04,2.53
RET0133,ORD00023,late af no good,2026-06-25,54.42
RET0134,ORD00947,changed my mind sorry,2025-12-17,11.1
RET0135,ORD00226,LATE_DELIVERY,2025-09-26,30.87
RET0136,ORD00114,LATE_DELIVERY,2025-06-25,18.55
RET0137,ORD00837,LATE_DELIVERY,2026-05-18,30.24
RET0138,ORD00389,item never arrived,2025-09-10,11.54
RET0139,ORD00148,didnt like it,2026-05-02,11.09
RET0140,ORD00514,LATE_DELIVERY,2025-10-20,4.92
RET0141,ORD00095,changed my mind sorry,2026-06-30,5.12
RET0142,ORD00860,item never arrived,2026-05-13,15.95
